placename;remark
Aholming;
Altenburg-Rheinau;Oppidum
Alttiefenweg;Single find
Avenches (District de la Broye-Vully);Settlement
Baar;Settlement
Bad Zurzach;Single find
Baden (District Baden), Aargau;Single find
Balm bei Lottstetten;Single find
Balsthal (District Thal);Wetland find
Basel (Münsterhügel);Oppidum
Berching-Pollanten;Agglomeration
Berglern Glaslern;Single find
Bern (Engehalbinsel);Oppidum
Biberist (District Wasseramt);Settlement
Biel (District Biel);Single find
Brig-Glis (District Brig);Settlement
Bruck an der Großglocknerstraße;Cult place
Brugg (District Brugg);Settlement
Cífer-Pác;Settlement
Courroux (District de Delémont);Settlement
Diessenhofen (District Diessenhofen);Single find
Dorfen Niederham;Single find
Egglfing;Agglomeration
Eppenberg-Wöschnau (District Olten);Settlement
Erding-Pretzen;Single find
Felber Tauern;Hoard
Fischböckau;Single find
Geneva;Oppidum
Georgenberg;Single find
Gilsenöd;Single find
Haunersdorf;Settlement
Hundisburg;Single find
Karlstein (Bad Reichenhall);Settlement
Kirchberg (District Alttogenburg);Wetland find
Kleßheim;Single find
Kremsmünster;Single find
Kürnbergerwald;Single find
Kyburg (District Pfäffikon);Wetland find
Lambach;Single find
Langenisarhofen;Single find
Langenpreising Thenner See;Single find
Langenpreising Zustorf;Single find
Liefering;Single find
Linz Freinberg;Oppidum
Linz-Neubau;Agglomeration
Loham;Single find
Mainburg;Hoard
Manching;Oppidum
Martigny (District Martigny);Cult places
Merklingen;Hoard
Mont Beuvray;Oppidum
Moos;Settlement
Natternberg;Single find
Neuses an der Regnitz;Hoard
Niederbipp (District Wangen);Settlement
Oberpöring;Settlement
Ostenhofen (Kasten);Single find
Otzing (Hofäcker);Single find
Pankofen;
Pfaffenhofen-Trappeleacker;Settlement
Plattling;SettlementViereckschanze
Reiden (District Willisau);Single find
Rheinau (District Andelfingen);Oppidum
Roggwil, Fryburg;Oppidum
Ruckasing;Single find
Salgesch (District Leuk);Settlement
Salzburg Stadt, Festungsberg;Single find
Salzburg Stadt, Hellbrunn;Single find
Salzburg Stadt, Residenzplatz;Single find
Salzburg, Rainberg;Settlment
Sättelstädt;Settlement
Stradonice Oppidum;Oppidum
Tabertshausen;Single find
Teisendorf;Hoard
Telfs Schlossbichl;Cult placeBrandopferplatz
Thundorf;Single find
Thundorf (Kugelstatt);Single find
Titelberg;Oppidum
Třísov;Oppidum
Vallon (District de la Broye);Settlement
Wartenberg Amerhof;Single find
Wartenberg Sellmayerhof;Single find
Windisch (District Brugg);Settlement
